time,x,y,z
13405,9,268,0
13414,9,269,-8
13424,10,270,-6
13434,10,269,1
13444,8,267,-8
13454,7,271,-9
13464,14,266,-8
13473,9,271,-7
13484,14,265,-5
13494,11,268,-7
13503,13,269,1
13513,8,269,-7
13522,8,270,0
13533,7,273,-11
13543,9,271,-6
13552,11,267,-6
13562,10,269,-4
13573,13,266,-2
13582,8,269,-5
13592,7,271,2
13601,12,269,-5
13612,10,271,-9
13622,13,261,-8
13631,8,268,-6
13641,15,270,-3
13651,10,272,-8
13661,13,268,1
13671,9,270,-3
13680,10,269,0
13690,5,273,-8
13701,11,270,-4
13710,10,268,-10
13720,9,269,-3
13766,9,267,-6
13769,11,270,-1
13779,10,268,-11
13789,12,268,1
13799,10,269,-7
13809,10,273,0
13818,14,269,-5
13829,9,273,-4
13838,13,265,-3
13848,8,268,-4
13858,12,268,-3
13868,10,268,-11
13878,10,269,-4
13888,8,265,-7
13897,11,266,-2
13907,9,267,-8
13917,12,270,-2
13927,12,269,-8
13937,8,273,-6
13946,13,269,-6
13957,11,270,-6
13967,12,268,-1
13976,10,267,-7
13986,7,274,0
13996,8,269,-9
14006,5,271,-4
14016,12,266,-5
14025,8,270,-9
14035,12,269,-5
14046,11,266,-10
14055,11,269,-7
14065,10,267,-8
14074,9,269,-2
14085,12,266,-8
14095,7,273,-7
14104,8,268,-8
14114,7,274,-8
14125,11,268,-9
14134,10,270,-8
14144,14,268,-1
14153,12,266,-9
14163,10,268,0
14174,10,269,-9
14183,5,273,-10
14193,13,265,-9
14203,10,267,-9
14213,14,264,-5
14223,8,268,-10
14232,12,266,0
14242,9,267,-5
14294,8,265,-1
14302,13,268,3
14311,11,270,-6
14321,12,266,-1
14331,8,268,-9
14341,11,270,-2
14351,8,271,-6
14361,8,271,-3
14370,15,264,-8
14381,8,270,-6
14390,12,268,-3
14400,15,265,-8
14410,10,266,-4
14419,11,267,-5
14430,8,270,-8
14440,12,269,-2
14449,9,270,-9
14459,14,268,-1
14470,12,265,-10
14479,8,270,-3
14489,7,271,0
14498,9,267,-5
14509,11,270,-10
14519,11,271,-4
14528,7,270,-8
14538,8,271,-6
14548,9,269,0
14558,10,271,-6
14568,8,273,-2
14577,9,273,-6
14587,11,263,-6
14598,8,270,-5
14607,11,271,-3
14617,10,269,-11
14627,9,272,-6
14637,12,266,-3
14647,10,268,-8
14656,8,270,-1
14666,12,265,-8
14676,7,272,-6
14686,10,270,-3
14696,10,266,-7
14706,8,270,-1
14715,15,264,-8
14726,10,268,-4
14735,14,269,0
14745,9,268,-6
14755,9,270,-2
14765,11,266,-5
14775,10,270,-1
14821,8,267,-5
14824,10,268,-3
14834,13,265,-3
14843,10,268,-8
14854,9,272,-1
14864,6,270,-9
14873,9,272,-2
14883,9,267,-8
14893,13,272,-5
14903,12,266,-11
14913,6,271,-5
14922,12,263,-8
14932,10,272,-2
14943,15,266,-8
